ObjectID,Status,Entry_frame,Exit_frame
1,Moving,1,246
2,Still,1,193
3,Still,1,133
4,Still,1,138
5,Still,1,110
6,Still,1,130
7,Still,1,119
8,Still,1,320
9,Still,1,118
10,Still,1,268
11,Still,1,187
12,Still,1,-
13,Still,1,240
14,Moving,1,40
15,Still,1,-
16,Moving,1,46
17,Still,1,325
18,Still,1,294
19,Moving,1,56
20,Still,1,-
21,Moving,1,58
22,Moving,1,18
23,Moving,1,2
24,Still,1,309
25,Moving,1,13
26,Still,1,67
27,Still,1,288
28,Moving,1,9
29,Moving,1,62
30,Moving,1,7
31,Still,1,5
32,Moving,1,13
33,Moving,1,6
34,Moving,1,2
35,Moving,2,3
36,Moving,6,10
37,Moving,8,28
39,Moving,11,23
42,Moving,14,45
43,Moving,15,16
44,Moving,17,30
45,Still,17,26
47,Moving,19,23
49,Moving,25,32
52,Moving,29,43
53,Moving,31,34
54,Moving,38,53
55,Moving,38,39
57,Still,40,-
59,Moving,40,48
60,Moving,40,44
62,Moving,44,45
63,Moving,45,65
64,Moving,51,52
65,Moving,50,70
66,Moving,52,53
67,Moving,52,68
69,Moving,53,72
70,Moving,53,68
73,Moving,54,67
76,Moving,63,64
77,Moving,60,62
80,Moving,64,86
81,Moving,65,79
82,Still,67,208
83,Still,70,-
85,Moving,70,71
88,Still,75,83
89,Still,75,-
90,Still,75,76
91,Moving,76,90
94,Moving,84,85
95,Still,79,97
96,Moving,79,80
97,Moving,80,83
99,Moving,83,87
100,Moving,86,96
103,Still,87,88
104,Still,88,91
105,Still,89,90
106,Moving,91,93
108,Moving,90,99
110,Moving,95,97
111,Moving,95,98
115,Moving,100,132
116,Moving,106,-
117,Moving,107,113
118,Moving,108,156
120,Moving,107,108
122,Moving,112,139
123,Moving,117,123
124,Moving,114,117
125,Moving,115,191
126,Moving,119,122
128,Moving,120,180
131,Moving,122,125
133,Moving,125,127
135,Moving,125,128
136,Moving,126,133
137,Moving,126,127
138,Moving,129,133
140,Moving,131,135
141,Moving,149,152
142,Moving,133,140
143,Moving,133,134
144,Moving,134,135
145,Moving,136,155
148,Moving,138,145
150,Moving,143,149
155,Moving,155,162
157,Moving,154,177
158,Moving,155,158
161,Moving,163,274
162,Moving,167,169
163,Moving,166,167
164,Moving,173,174
165,Moving,170,176
166,Moving,170,171
167,Moving,173,175
168,Moving,175,183
171,Moving,187,188
172,Moving,184,185
173,Moving,190,197
174,Moving,189,-
176,Moving,191,192
177,Moving,199,209
181,Moving,210,218
182,Moving,213,215
183,Moving,209,210
184,Moving,209,-
186,Moving,209,223
187,Moving,209,215
188,Moving,213,214
190,Moving,210,213
191,Moving,214,224
192,Moving,213,217
193,Moving,214,228
195,Moving,223,226
199,Moving,232,242
201,Moving,231,239
203,Moving,238,240
204,Moving,241,242
205,Moving,239,240
206,Moving,239,246
207,Moving,241,245
208,Moving,241,246
209,Moving,243,279
210,Moving,246,248
211,Moving,250,251
212,Moving,252,-
213,Moving,252,283
214,Moving,255,259
215,Moving,259,263
216,Moving,256,-
219,Moving,257,262
220,Moving,260,-
221,Moving,261,262
222,Moving,264,269
223,Moving,265,268
225,Moving,270,339
226,Moving,272,-
227,Moving,276,277
228,Moving,277,278
229,Moving,279,333
231,Moving,281,282
233,Moving,285,-
234,Moving,285,294
237,Moving,289,290
238,Moving,290,292
239,Moving,291,-
240,Moving,300,334
241,Moving,301,302
242,Moving,310,312
243,Moving,305,316
244,Moving,304,339
246,Moving,309,313
248,Moving,311,319
249,Moving,324,329
253,Moving,323,326
255,Moving,323,-
256,Moving,323,336
257,Moving,326,-
258,Moving,326,-
259,Moving,326,333
260,Moving,327,-
263,Moving,332,333
265,Moving,340,341
